no,totalarea,sitearea,buildingarea,typicalfloorheight,totalheight,basement,groundlevel,parkinglot,type,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,year,buildingcost,duration
1,1628.26,2253,461.65,3.6,16.86,1,4,17,3,0,0,1,0,0,0,0,0,0,0,0,2015,1985,360
2,1775.68,3182,726.15,3.9,19.17,0,3,35,3,0,0,1,0,0,0,0,0,0,0,0,2015,3124,225
3,4986.55,4923,820.37,4.2,32.5,1,6,77,3,0,0,1,0,0,0,0,0,0,0,0,2015,5192,450
4,2911.09,4577.1,793.1,3.6,15.7,1,4,71,3,0,0,1,0,0,0,0,0,0,0,0,2015,4750,300
5,906.12,1724,522.15,3.6,11.55,0,2,16,3,0,0,1,0,0,0,0,0,0,0,0,2015,925,180
6,6539,400256.8,2031.02,4.5,32.5,1,5,94,3,0,0,1,0,0,0,0,0,0,0,0,2015,9152,480
7,3599.24,3238.4,722.42,4.2,21.6,1,4,72,3,0,0,1,0,0,0,0,0,0,0,0,2015,4214,306
8,801.11,1556,517.75,4.2,19.47,0,2,14,3,0,0,1,0,0,0,0,0,0,0,0,2015,1379,210
9,1490.98,2940,705.9,4.2,13.5,0,3,67,3,0,0,1,0,0,0,0,0,0,0,0,2015,2035,365
10,3256.06,5098,1047.26,4.2,21,1,4,34,3,0,0,1,0,0,0,0,0,0,0,0,2015,5981,360
11,1838.16,3395.4,705.89,3.9,13.9,0,3,49,3,0,0,1,0,0,0,0,0,0,0,0,2015,2789,240
12,1713.81,1952,612.89,3.75,16.6,0,4,33,3,0,0,1,0,0,0,0,0,0,0,0,2015,2107,0
13,2988.23,9483,1131.51,4.5,18.9,1,3,41,3,0,0,1,0,0,0,0,0,0,0,0,2015,6080,334
14,9441.3,12276,2125.81,4.2,32.5,1,8,77,3,0,0,1,0,0,0,0,0,0,0,0,2015,9612,660
15,5620.5,3870.3,2263.19,3.4,22.26,2,3,42,2,0,1,0,0,0,0,0,0,0,0,0,2015,9515,450
16,988.1,11870,659.51,4,11.9,0,2,31,3,0,0,1,0,0,0,0,0,0,0,0,2015,1405,0
17,25805.16,35397,6549.57,4.2,42.55,1,9,672,11,0,0,0,0,0,0,0,0,0,0,1,2015,28355,780
18,17861.04,41893,4943.4,4.2,32.08,1,5,300,11,0,0,0,0,0,0,0,0,0,0,1,2015,19999,610
19,16656.46,23613,3991.43,4.2,45.85,1,8,213,11,0,0,0,0,0,0,0,0,0,0,1,2015,17022,660
20,11708.41,12000,3744.16,4.2,21,1,4,39,9,0,0,0,0,0,0,0,0,1,0,0,2015,11633,370
21,7598.49,9028.1,3188.29,4.2,18.09,1,4,31,9,0,0,0,0,0,0,0,0,1,0,0,2015,10693,380
22,21649.58,19623,6149,3.6,21.55,1,5,100,9,0,0,0,0,0,0,0,0,1,0,0,2015,19911,420
23,10663.49,10761.6,3106.57,3.6,21.25,1,5,71,9,0,0,0,0,0,0,0,0,1,0,0,2015,14092,390
24,20545.03,15551,5423.42,3.6,19.9,1,5,103,9,0,0,0,0,0,0,0,0,1,0,0,2015,20226,420
25,19449.94,17310.95,5365.14,3.7,22.43,1,5,94,9,0,0,0,0,0,0,0,0,1,0,0,2015,18031,340
26,14426.17,18719,3676.21,4.2,21,1,4,72,9,0,0,0,0,0,0,0,0,1,0,0,2015,12544,365
27,11503.17,11158,2813.28,3.6,18.65,1,5,38,9,0,0,0,0,0,0,0,0,1,0,0,2015,12907,380
28,8165.17,11388,3098.59,3.6,16.85,0,4,41,9,0,0,0,0,0,0,0,0,1,0,0,2015,10022,400
29,11373.94,12044,3919.17,3.6,18.55,1,4,45,9,0,0,0,0,0,0,0,0,1,0,0,2015,13809,380
30,16510.45,22557.92,4878.78,3.6,23.5,1,4,99,9,0,0,0,0,0,0,0,0,1,0,0,2015,17279,420
31,18357.36,19825,5772.41,3.6,20.15,1,5,94,9,0,0,0,0,0,0,0,0,1,0,0,2015,19440,420
32,12041.58,12000,3744.4,3.6,16.85,1,4,45,9,0,0,0,0,0,0,0,0,1,0,0,2015,12443,380
33,11192.58,11080,2880.66,4.2,19.6,1,5,57,9,0,0,0,0,0,0,0,0,1,0,0,2015,10682,420
